65,61.3,52.9,52.9
65,61.3,52.9,52.9
65,61.3,52.9,52.9
65,61.3,52.9,52.9
65,61.3,52.9,52.9
65,61.3,52.9,52.9
65,61.3,52.9,52.9
65,61.3,52.9,52.9
67.4,78.6,28.6,73.3
67.4,78.6,18.6,73.3
67.4,78.6,15.4,73.3
67.4,78.6,16.4,73.3
67.4,78.6,13.3,73.3
67.7,78.7,17.2,73.3
67.6,78.7,11.3,73.3
67.5,78.7,18.5,73.3
7.2,14.9,10,38
7.5,12.9,6.1,37.8
8.8,14.1,10.1,37.6
10.8,15.6,17.2,36.8
10.9,15.6,11.6,36.4
11.8,16.9,8.7,36.4
11,15.7,5.9,36.3
11.2,15.7,4.5,36.3
12.5,16.7,9.5,36.3
12.9,17.3,8.8,36.3
13.1,17.5,5.9,36.3
13.2,17.7,6.8,36.3
13.2,17.6,17.6,36.3
13.5,18,18.7,36.3
14,18.5,15.7,36.3
14.5,19,17.9,36.3
13.9,18.3,17,36.3
14.3,18.7,17.1,36.3
14.7,19,15.5,36.3
14.7,19.1,14.9,36.3
14.8,19.2,1.6,36.3
15.7,19.9,7.9,36.3
15.9,20,9.5,36.3
14.3,18.3,4.5,36.3
14.4,18.4,5.1,36.3
14.3,18.4,2.9,36.3
14.2,18.3,3,36.3
14.3,18.3,2.5,36.3
14.3,18.3,2.7,36.3
14.4,18.4,2.2,36.3
14.4,18.5,3.7,36.3
14.5,18.5,2.1,36.3
14.6,18.6,2.7,36.3
14.6,18.6,4.5,36.3
10.8,15.4,2.6,36.3
10.1,14.7,0.6,36.3
10.1,14.7,1.2,36.3
10.1,14.7,1.6,36.3
10.2,14.8,1.8,36.3
10.5,17.4,16.7,37.6
8.6,14.1,17.2,37.6
9.4,15,18.6,37.6
10,15.2,20.2,37.6
10.3,14.9,0.9,36.3
10.4,14.9,0.6,36.3
10.4,14.9,0.6,36.3
12.3,17,18.8,37.6
14.1,18.6,49.2,37.7
13.5,18.2,6.6,37.7
10.5,15,0.5,36.3
10.5,15.1,1.1,36.3
10.6,15.1,0.9,36.3
14,18.2,5.8,37.7
14.3,18.4,6.2,37.7
14.3,18.5,10.1,37.7
10.7,15.2,1.3,36.3
10.8,15.3,1,36.3
10.8,15.3,0.8,36.3
13.9,18.3,3,37.7
13.9,18.4,4.3,37.7
13.8,18.4,2.6,37.7
10.9,15.4,0.9,36.3
10.9,15.4,0.9,36.3
10.9,15.5,1,36.3
13.9,18.4,3.1,37.7
13.9,18.4,3,37.7
14,18.4,2.5,37.7
11,15.5,1,36.3
11,15.5,1.5,36.3
10,14.5,1,36.3
14,18.5,2.7,37.7
14.1,18.5,3,37.7
14.1,18.5,2.8,37.7
10.1,14.6,0.9,36.3
10.1,14.7,0.7,36.3
10.1,14.7,0.6,36.3
13.8,18.2,2.8,37.7
13.9,18.2,2.9,37.7
13.9,18.2,2.7,37.7
10.3,14.8,0.9,36.3
10.3,14.8,0.7,36.3
10.3,14.9,1.1,36.3
13.9,18.2,2.8,37.7
14,18.3,2.9,37.7
14,18.3,3.3,37.7
10.5,15,0.6,36.3
10.5,15,1.4,36.3
10.5,15.1,0.7,36.3
14.2,18.5,3.4,37.7
14.2,18.4,3.5,37.7
14.3,18.5,3.2,37.7
10.7,15.2,0.9,36.3
10.7,15.2,0.9,36.3
10.7,15.2,1,36.3
14.4,18.6,2.8,37.7
14.4,18.6,2.6,37.7
14.5,18.7,2.5,37.7
10.8,15.3,1.4,36.3
11,15.5,2.4,36.3
11,15.5,1.2,36.3
14.6,18.8,3.4,37.7
14.6,18.9,2.5,37.7
14.7,18.9,2.6,37.7
11.1,15.6,1.2,36.3
11.1,15.6,1.1,36.3
11.1,15.6,1,36.3
14.8,19,2.8,37.7
14.8,19,2.7,37.7
14.9,19.1,2.8,37.7
11.1,15.6,0.7,36.3
10.1,14.6,1.9,36.3
10.1,14.6,0.5,36.3
14.5,18.7,4.7,37.7
14.7,18.8,2.5,37.7
14.7,18.8,2.6,37.7
10.2,14.7,1,36.3
10.2,14.8,0.4,36.3
10.3,14.8,0.5,36.3
14.7,18.8,2.5,37.7
14.8,18.9,2.1,37.7
14.8,18.9,2.3,37.7
10.4,14.9,0.5,36.3
10.4,14.9,0.6,36.3
10.4,15,0.6,36.3
14.8,18.9,3.3,37.7
14.8,18.9,2.6,37.7
14.8,18.9,2.3,37.7
10.6,15.1,0.6,36.3
10.6,15.1,0.6,36.3
10.6,15.1,0.6,36.3
14.8,18.9,2.2,37.7
15.1,19.2,2.6,37.7
15.1,19.1,1.8,37.7
10.9,15.4,1,36.3
11,15.4,0.8,36.3
11,15.5,0.7,36.3
10.8,15.6,0.9,37.7
10.8,15.6,0.4,37.7
10.8,15.6,0.7,37.7
11.1,15.6,1.1,36.3
11.1,15.6,1,36.3
11.2,15.7,1.3,36.3
10.8,15.7,0.5,37.7
10.9,15.7,0.8,37.7
10.9,15.7,0.5,37.7
11.3,15.8,1,36.3
11.3,15.8,0.9,36.3
11.4,15.8,1,36.3
11,15.8,1,37.7
11,15.9,0.6,37.7
11.1,15.9,0.5,37.7
10.3,14.8,1.9,36.3
10.4,14.9,1.9,36.3
10.5,15,2.3,36.3
10.4,15.2,0.4,37.7
10.4,15.3,0.4,37.7
10.5,15.3,0.6,37.7
10.6,15.1,0.6,36.3
10.6,15.1,0.5,36.3
10.7,15.1,0.6,36.3
10.5,15.4,0.8,37.7
10.6,15.4,0.4,37.7
10.6,15.4,0.5,37.7
10.8,15.2,0.7,36.3
10.8,15.3,0.6,36.3
10.7,15.5,0.5,37.7
10.7,15.5,0.5,37.7
11,15.4,0.8,36.3
11,15.4,0.8,36.3
10.9,15.7,1.7,37.7
10.9,15.7,0.8,37.7
11.1,15.6,0.9,36.3
11.2,15.6,0.9,36.3
14.4,18.5,36.1,37.8
18.1,21.7,15.3,37.8
15,19.2,5.5,37.8
14.6,18.8,1.1,37.8
14.7,18.8,0.8,37.8
14.9,19,3.2,37.8
15.6,19.6,6.9,37.8
16.1,20.1,3.2,37.9
10.8,15.6,0.8,37.8
10.9,15.6,0.4,37.8
10.9,15.6,0.8,37.8
10.9,15.7,0.7,37.8
11.1,15.9,0.5,37.8
11.2,15.9,0.6,37.8
11.3,16,0.9,37.8
11.3,16.1,0.4,37.8
11.4,16.1,0.5,37.8
11.5,16.2,0.6,37.8
11.6,16.3,1.2,37.8
11.6,16.4,0.6,37.8
10.7,15.4,0.4,37.8
10.8,15.5,0.4,37.8
10.9,15.6,1,37.8
11,15.7,0.5,37.8
11.1,15.8,1.6,37.8
11.1,15.8,0.4,37.8
11.3,15.9,7.5,37.8
11.4,16,0.7,37.8
14.8,18.9,8.6,37.9
16.2,20.2,13.8,37.9
10,15.5,16.6,39.2
10.2,15.6,17.6,39.2
16.4,20.3,3.3,37.9
16.7,20.7,6.1,37.9
11.8,17,15.7,39.2
11.3,16.4,2,39.3
18,21.7,5.2,37.9
16.6,20.5,3.7,37.9
11.2,16.2,8.7,39.3
11.1,16.1,0.8,39.3
16.6,20.4,4.8,37.9
16.8,20.7,5.5,37.9
11.1,16.1,2.6,39.3
11.1,16.1,2.2,39.3
17.3,21.1,3.1,37.9
17.4,21.1,2.1,37.9
11.1,16.1,1.3,39.3
11.5,16.3,7.2,39.3
18.3,22.1,8.7,37.9
19,22.1,7.3,38.1
11.4,16.2,0.5,39.3
11.5,16.2,0.6,39.3
20.8,24.1,2.5,38.3
20.8,24,0.9,38.3
10.5,15.6,0.6,39.3
10.6,15.6,0.5,39.3
21.1,24.1,2.6,38.3
21.8,24.6,13.2,38.4
10.2,15.2,0.5,39.3
10.3,15.3,0.5,39.3
24.8,28.8,7.4,38.5
26.2,30.1,9.7,38.5
10.4,15.3,0.6,39.3
10.3,15.3,1.6,39.3
25.4,29.3,5.5,38.5
25.4,29.3,5.4,38.5
10.5,15.5,0.6,39.3
10.5,15.5,0.5,39.3
10.6,15.5,0.5,39.3
25.6,29.5,5.4,38.5
25.3,29.2,10.3,38.5
8,13.5,5.2,36.3
8.3,13.8,4.6,35.8
10.7,15.6,0.7,39.3
10.7,15.7,0.6,39.3
29.3,36.4,17.6,39.1
36.9,39.6,81.1,39.1
10.8,15.8,0.6,39.3
38.3,40.7,49.1,39.1
4.5,9.4,7.2,56.2
10.9,15.8,0.5,39.3
9.5,15.9,3.2,34.4
4.7,9.6,6,54.4
39.1,41.4,10.5,39.2
9.5,16,1,34.4
11,15.9,0.7,39.3
39.1,41.6,4.5,39.2
4.6,9.5,6.6,52.9
11.1,16,1,39.3
9.8,16.2,7.8,34.4
4.7,9.6,7.8,52.9
41.1,43.2,32.2,39.2
10,16.3,13.4,34.4
10.3,15.1,0.7,39.3
41.6,43.6,12,39.2
4.7,9.6,2.3,52.9
10.4,15.2,0.4,39.3
10.1,16.3,13.7,34.4
4.7,9.6,2.4,52.9
41.7,43.6,4.4,39.2
10.1,16.4,13.7,34.4
10.5,15.3,0.4,39.3
41.7,43.7,4.7,39.2
4.9,9.8,13.5,52.9
10.5,15.4,0.6,39.3
10.3,16.6,13.5,34.3
5,9.8,13.3,52.9
37.9,41,30.9,39.4
9.6,15.8,13.2,34.3
10.6,15.5,0.6,39.3
38.2,41.2,21.4,39.4
5.3,10,9.4,52.9
10.7,15.5,0.4,39.3
9.7,15.9,0.6,34.3
5.2,10,2,52.9
14.7,18.6,0.7,39.3
9.8,16,0.6,34.3
10.8,15.6,0.5,39.3
14.6,18.5,1.7,39.3
5.3,10,2.1,52.9
10.9,15.7,0.8,39.3
10.1,16.3,0.7,34.3
5.3,10,2.3,52.9
14.6,18.5,2,39.3
10.2,16.3,0.7,34.3
11,15.8,0.5,39.3
14.7,18.6,2,39.3
5.4,10.1,2.6,52.9
11,15.9,0.4,39.3
10.4,16.5,0.6,34.3
5.4,10.1,2.2,52.9
14.7,18.6,0.9,39.3
10.4,16.5,1.4,34.3
11.1,16,0.5,39.3
14.8,18.7,1.6,39.3
5.5,10.2,2.1,52.9
11.2,16,3.5,39.3
10.5,16.6,0.9,34.3
5.5,10.2,2.3,52.9
10.5,16.7,0.8,34.3
10.6,16.7,0.9,34.3
11.3,16.1,3.4,39.3
15,18.9,2,39.3
5.6,10.2,5.3,52.9
11.3,16.2,2.2,39.3
10.7,16.8,1.3,34.3
5.6,10.3,5.6,52.9
15.1,19,1.6,39.3
10.7,16.8,0.9,34.3
11.4,16.3,3.5,39.3
15.2,19.1,2.5,39.3
5.7,10.3,6,52.9
10.5,15.3,0.7,39.3
10.8,17,1.1,34.3
10.5,15.3,0.5,39.3
10.6,15.4,0.6,39.3
10.7,15.5,0.4,39.3
10.7,15.5,0.6,39.3
10.8,15.6,0.6,39.3
10.9,15.7,0.5,39.3
11,15.8,0.5,39.3
11.1,15.9,2,39.3
11.1,15.9,0.8,39.3
11.2,16.1,0.9,39.3
10.3,15.2,1.1,39.3
10.5,15.3,0.6,39.3
10.7,15.5,1.7,39.3
10.8,15.7,0.6,39.3
11,15.8,0.5,39.3
11.2,16,0.7,39.3
11.3,16.1,0.6,39.3
11.5,16.3,3.3,39.3
10.5,15.3,0.3,39.3
10.7,15.5,0.4,39.3
10.9,15.7,0.6,39.3
11,15.8,0.5,39.3
11.2,16,0.4,39.3
11.3,16.2,0.4,39.3
11.3,16.2,0.4,39.3
10.5,15.3,0.4,39.3
10.7,15.5,2.9,39.3
10.9,15.7,0.5,39.3
11,15.9,0.4,39.3
11.2,16,3.3,39.3
11.3,16.1,3.3,39.3
11.5,16.3,3.3,39.3
10.7,15.5,0.4,39.3
10.8,15.6,0.4,39.3
11,15.8,0.5,39.3
11.2,15.9,0.5,39.3
11.3,16.1,0.5,39.3
11.5,16.3,4,39.3
10.6,15.4,0.7,39.3
10.7,15.5,0.4,39.3
10.8,15.5,0.4,39.3
10.9,15.7,0.6,39.3
11.1,15.9,2.3,39.3
11.3,16,3.3,39.3
11.4,16.2,0.5,39.3
10.6,15.4,0.4,39.3
10.8,15.5,0.5,39.3
10.8,15.3,0.5,36.3
11,15.9,0.5,39.3
10.8,15.6,0.5,37.7
11.2,16,0.4,39.3
11,15.5,0.9,36.3
11.3,16.2,0.9,39.3
11.8,16.5,7.7,37.8
8.5,13.8,8.3,37.7
10.4,15.3,0.4,39.3
11.2,15.6,0.9,36.3
10.9,15.6,7.4,36.3
10.6,15.4,0.6,39.3
14.5,18.7,3.3,37.8
11.5,15.9,4.2,36.3
10.8,15.6,0.4,39.3
14.7,18.8,1,37.8
13,17.4,7.7,36.3
10.9,15.8,0.6,39.3
15.1,19.2,8.2,37.8
11.1,15.9,0.5,39.3
10.9,15.6,1,37.8
11.2,16.1,0.6,39.3
10.9,15.6,0.5,37.8
13.8,18.3,15.5,36.3
11.4,16.2,1.1,39.3
11.1,15.8,0.5,37.8
11.3,16,0.5,37.8
14.2,18.7,17.3,36.3
11.4,16.1,0.6,37.8
14.8,19.1,4.1,36.3
11.6,16.3,0.7,37.8
15.6,19.7,7.4,36.3
10.7,15.4,0.5,37.8
14.3,18.3,2.5,36.3
10.9,15.6,0.5,37.8
14.3,18.3,2.5,36.3
11,15.7,1.6,37.8
10.5,15.4,0.3,39.3
14.6,18.6,2.1,36.3
11.2,15.9,0.6,37.8
10.1,14.7,0.9,36.3
14.2,18.5,16.8,37.9
10.1,14.7,0.7,36.3
16.3,20.3,5.7,37.9
10.3,14.8,0.6,36.3
10.1,15.6,14.6,39.2
10.8,15.9,8.1,37.6
17.5,21.3,4.8,37.9
10.4,15,0.7,36.3
11.5,16.6,7.9,39.3
13.5,17.9,12.7,37.7
16,19.9,3.8,37.9
10.6,15.2,0.7,36.3
10.7,15.6,1.5,39.3
11,16.1,1.5,39.3
14.1,18.3,4.3,37.7
17.5,21.2,5.2,37.9
10.8,15.3,1.1,36.3
11.1,16.1,0.7,39.3
13.9,18.4,2.9,37.7
17.4,21.2,1,37.9
11,15.5,1,36.3
11.6,16.4,3.6,39.3
14,18.4,2.5,37.7
19.7,22.3,7.4,38.2
10,14.6,0.7,36.3
10.5,15.6,3.2,39.3
13.8,18.1,2.5,37.7
22.1,25.1,3,38.3
10.9,15.7,0.5,39.3
10.2,14.7,0.7,36.3
10.1,15.1,0.6,39.3
13.8,18.1,3.5,37.7
23.2,27.2,22.5,38.4
10.4,14.9,1,36.3
10.3,15.3,0.5,39.3
14.3,18.4,2.8,37.7
26.2,30.1,5.8,38.5
10.6,15.1,0.6,36.3
10.4,15.3,0.4,39.3
14.3,18.6,3.1,37.7
25.4,29.3,4.7,38.5
10.7,15.3,1,36.3
8.9,16.3,8.8,37.4
14.5,18.7,2.3,37.7
11,15.9,0.6,39.3
7.9,13.3,4.9,36.6
11,15.5,0.9,36.3
10.9,15.9,9.7,37.4
10.7,15.6,1,39.3
14.7,18.9,3.3,37.7
11.1,15.9,4.9,36.3
27.4,30.2,14.5,38.6
12.6,16.8,7.8,36.3
9.2,15.7,6.6,34.4
13.1,17.7,11.2,36.3
9.8,16.1,7.3,34.4
14.3,18.8,18.9,36.3
38.8,41.2,19.3,39.1
14.4,18.8,15.4,36.3
10.9,15.8,0.6,39.3
15.4,19.6,7.4,36.3
4.7,9.6,5.9,53.7
14.3,18.3,8.6,36.3
11.2,16,0.5,39.3
9.6,16,1,34.4
14.3,18.3,2.7,36.3
39.2,41.6,4.6,39.2
14.4,18.4,2.1,36.3
11.1,16.1,1.1,39.3
4.7,9.6,6.1,52.9
14.6,18.6,3.7,36.3
10,16.3,13.5,34.4
41.6,43.6,10,39.2
10.2,14.7,0.6,36.3
10.4,15.2,0.5,39.3
10.2,14.8,0.7,36.3
4.9,9.7,6.5,52.9
10.3,16.5,13.5,34.3
10.3,14.9,0.6,36.3
30.1,32.6,3.6,39.4
11.9,16.6,14.8,37.6
10.5,15,0.8,36.3
10.5,15.4,0.4,39.3
11.4,16.2,0.9,39.3
13.7,18,6.4,37.7
5.1,9.9,11.4,52.9
10.6,15.2,0.8,36.3
9.7,15.9,13.3,34.3
